Name,Token
Red Rock Roasting Co,8aeu90dy
Viva Chicken,xPOMrAu2
Walmart,260fZojB
Bear Paw Cafe,0PDOt87g
Painted Pony,QFhahv4K
Cliffside Restaurant,hiKzn4GE
Dutchmans Market,hIhksw4s
Cappellettis,U55VhFuk
Angelicas Mexican Grill,sIwVMwzF
Mortys Cafe,FjPVlUR4
Riggattis Pizza,9rhu9xjT
Big Shots Golf,1wgN5E1t
Contact Climbing,BqzXGsPJ
Judds Store,U8et7kOX
Zion Outfitters,RVKwjpQs
Desert Rat,GgnRlH67
Costco,DZXBV92s
Cafe Rio,GMuOikG4
Costa Vida,AzFM4BXv
Station 2 Bar,EoAv62Cr
Bishops Grill,szZRz8oe
Smiths,TlAnbSU1
Georges Corner Restaurant,rGtsiE0e
Utah Tech Campus Bookstore,ISDKxbCF
Swig,GVkgKk5O
Handlebar Cafe,tpe4MGzB
Sakura Japanese Steakhouse,5yGuXhvV
Nielsens Frozen Custard,nvfeNWrn
Tifinys Creperie,xGl2zcPA
Veyo Pies,WjY3Fj1L
Xetava Gardens Cafe,ri47FJqo
Pizza Factory,PPBqnohw
Lins,zkkn0n6M
Benjas Thai Sushi,febuSu6O
Tagg and Go Car Wash,9e25AhO8
Tommys Express Car Wash,vd8vwysf
Fiiz Drinks,xRcMVZt5
Zion Brewery,RTwJShn1
Rancheritos Mexican Food,g0EleGLo
Irmitas Casita,9uPWL3S7
Sweet Rolled Tacos,W71AnrQu
Teriyaki Grill,qi3vvwtv
Sol Foods,m39ShvHl
FeelLove Coffee,MDSHVulj
Pica Rica BBQ,vdMGy7IJ
Wood Ash Rye,QAJr8xhB
Taco Amigo,BsM86wrq
Arctic Circle,OCmngQJ4
Red Rock Bicycle,9KqkBtAn
gigi gelati,IXNDePt6
Sues Pet Castle,CUQpt2hi